block_number,log_count,skipped_by_bloom,ERC20_Transfer_bloom,ERC20_Transfer_actual,ERC20_Approval_bloom,ERC20_Approval_actual,UniV2_Swap_bloom,UniV2_Swap_actual,UniV3_Swap_bloom,UniV3_Swap_actual,UniV2_Sync_bloom,UniV2_Sync_actual,WETH_Deposit_bloom,WETH_Deposit_actual,WETH_Withdrawal_bloom,WETH_Withdrawal_actual,Synthetic_Absent_bloom,Synthetic_Absent_actual
25036303,882,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036304,662,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036305,818,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036306,653,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036307,512,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036308,804,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036309,866,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036310,720,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036311,978,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036312,691,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036313,868,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036314,673,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036315,838,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036316,706,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036317,889,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036318,716,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036319,779,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036320,598,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036321,806,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036322,574,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036323,665,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036324,823,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036325,447,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036326,917,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036327,691,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036328,989,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036329,541,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036330,929,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036331,753,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036332,532,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036333,953,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036334,572,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036335,1376,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036336,1196,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036337,829,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036338,797,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036339,495,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036340,755,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036341,701,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036342,858,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036343,781,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036344,466,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036345,523,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036346,884,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036347,715,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036348,975,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036349,1094,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036350,56,false,true,true,false,false,true,true,false,false,true,true,true,true,false,false,false,false
25036351,834,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036352,1177,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036353,1035,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036354,1039,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036355,476,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036356,1196,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036357,655,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036358,630,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036359,630,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036360,1078,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036361,620,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036362,1321,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036363,708,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036364,1131,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036365,738,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036366,926,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036367,664,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036368,596,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036369,964,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036370,755,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036371,952,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036372,624,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
25036373,381,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036374,1412,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036375,866,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036376,1486,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036377,1107,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036378,647,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036379,651,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036380,707,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036381,1716,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036382,1496,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036383,1149,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036384,602,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036385,461,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036386,1597,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036387,339,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036388,1070,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036389,740,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036390,685,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036391,545,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036392,925,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036393,1040,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036394,191,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036395,1252,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036396,830,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036397,933,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036398,800,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036399,750,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036400,835,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036401,453,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036402,1293,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036403,409,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036404,1028,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036405,212,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036406,1138,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036407,827,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036408,673,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036409,436,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036410,1051,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036411,595,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036412,891,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036413,889,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036414,613,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036415,631,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036416,993,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036417,841,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036418,772,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036419,623,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036420,622,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036421,970,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036422,196,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036423,905,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036424,142,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036425,1297,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036426,500,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036427,855,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036428,776,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036429,426,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036430,180,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036431,1519,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036432,751,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036433,563,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036434,253,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036435,412,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036436,1195,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036437,750,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036438,742,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036439,254,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036440,1161,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036441,793,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036442,185,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036443,1138,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036444,510,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036445,1052,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036446,744,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036447,478,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036448,1032,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036449,532,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036450,1943,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036451,929,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036452,391,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036453,1092,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036454,665,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036455,787,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036456,711,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036457,606,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036458,824,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
